interjection[key],positive,negative,sis,sentiment,replace-during-tokenize[flag]
stone the crows,0,0,0,0,1
stop the lights,0,0,0,0,1
stop the presses,0,0,0,0,1
strewth,0,0,0,0,1
struth,0,0,0,0,1
'struth,0,0,0,0,1
sugar honey ice tea,0,0,0,0,1
sup,0,0,0,0,1
sure thing,1,0,0,0,1
sweet action,0,0,0,0,1
ta everso,0,0,0,0,1
ta muchly,0,0,0,0,1
ta ta,0,0,0,0,1
ta ta for now,0,0,0,0,1
ta tah,0,0,0,0,1
ta-da,0,0,0,0,1
tah tah,0,0,0,0,1
tah-tah,0,0,0,0,1
take care,0,0,0,0,1
tally ho,0,0,0,0,1
tallyho,0,0,0,0,1
tally-ho,0,0,0,0,1
tant mieux,0,0,0,0,1
ta-ra,0,0,0,0,1
ta-ta,0,0,0,0,1
ta-ta for now,0,0,0,0,1
ta-tah,0,0,0,0,1
tatty bye,0,0,0,0,1
tch,0,0,0,0,1
tchick,0,0,0,0,1
tee hee,0,0,0,0,1
tee hee hee,0,0,0,0,1
thank goodness,0,0,0,0,1
thankee,0,0,0,0,1
thank'ee,0,0,0,0,1
thanks for nothing,0,0,0,0,1
thankyou,0,0,0,0,1
thanx,1,0,0,0,1
that sucks,0,1,0,0,1
that's all she wrote,0,0,0,0,1
that's just me,0,0,0,0,1
that's life,0,0,0,0,1
that's that,0,0,0,0,1
that's what I'm talking about,1,0,0,0,1
the hell with it,0,1,0,0,1
there ya go,0,0,0,0,1
there you go,0,0,0,0,1
thiam,0,0,0,0,1
think fast,0,0,0,0,1
thunk,0,0,0,0,1
thwomp,0,0,0,0,1
ticky,0,0,0,0,1
time out,0,0,0,0,1
to say the least,0,0,0,0,1
toodeloo,0,0,0,0,1
toodle pip,0,0,0,0,1
toodle-oo,0,0,0,0,1
toodles,0,0,0,0,1
topping,0,0,0,0,1
touch wood,0,0,0,0,1
touché,0,0,0,0,1
trick or treat,0,0,0,0,1
truth be told,0,0,0,0,1
tsk tsk,0,0,0,0,1
tush,0,0,0,0,1
tut,0,0,0,0,1
tut tut,0,0,0,0,1
tut-tut,0,0,0,0,1
uffda,0,0,0,0,1
uffdah,0,0,0,0,1
ugh,0,1,0,0,1
uh,0,0,0,0,1
uh huh,0,0,0,0,1
uh oh,0,0,0,0,1
uh-huh,0,0,0,0,1
uh-oh,0,0,0,0,1
uhuh,0,0,0,0,1
uh-uh,0,0,0,0,1
um,0,0,0,0,1
umm,0,0,0,0,1
ungh,0,0,0,0,1
unh-uh,0,0,0,0,1
unquote,0,0,0,0,1
up top,0,0,0,0,1
up yours,0,1,0,0,1
upsadaisy,0,0,0,0,1
ur,0,0,0,0,1
va-va-voom,0,0,0,0,1
very well,0,0,0,0,1
viva,0,0,0,0,1
voetsek,0,0,0,0,1
voila,1,0,0,0,1
voilà,1,0,0,0,1
vroom,0,0,0,0,1
w00t,1,0,0,0,1
wacko,0,1,0,0,1
wah,0,0,0,0,1
wahey,0,0,0,0,1
wahlau,0,0,0,0,1
wahoo,0,0,0,0,1
wakey wakey,0,0,0,0,1
wassup,0,0,0,0,1
water to my mill,0,0,0,0,1
waz up,0,0,0,0,1
we aye,0,0,0,0,1
well ain't that the catfish in the trap,0,0,0,0,1
well done,1,0,0,0,1
well said,1,0,0,0,1
"well, I never",0,0,0,0,1
"well, well",0,0,0,0,1
wellaway,0,0,0,0,1
welp,0,0,0,0,1
werdup,0,0,0,0,1
wha,0,0,0,0,1
whaddup,0,0,0,0,1
whammo,0,0,0,0,1
whap,0,0,0,0,1
what a way to go,0,0,0,0,1
what do you know,0,0,0,0,1
what gives,0,0,0,0,1
what it do,0,0,0,0,1
what the...?,0,0,0,0,1
what up,0,0,0,0,1
whatever floats your boat,0,0,0,0,1
whatevs,0,0,0,0,1
what's happening,0,0,0,0,1
whatsay,0,0,0,0,1
whee,0,0,0,0,1
"when, as, and if",0,0,0,0,1
whew,0,0,0,0,1
whish,0,0,0,0,1
whisht,0,0,0,0,1
whiskey tango foxtrot,0,0,0,0,1
whist,0,0,0,0,1
who writes this stuff?,0,1,0,0,1
whoa,0,0,0,0,1
whoo,0,0,0,0,1
whoopee,0,0,0,0,1
whoopee do,0,0,0,0,1
whoopee-do,0,0,0,0,1
whoops,0,0,0,0,1
whoopsadaisy,0,0,0,0,1
whoops-a-daisy,0,0,0,0,1
whoosh,0,0,0,0,1
who's a pretty boy then,0,0,0,0,1
wibble-wobble,0,0,0,0,1
wilco,0,0,0,0,1
with respect,0,0,0,0,1
wo,0,0,0,0,1
woah,0,0,0,0,1
woe is me,0,0,0,0,1
woo,0,0,0,0,1
woo hoo,1,0,0,0,1
woof,0,0,0,0,1
woohoo,1,0,0,0,1
woopiedoo,1,0,0,0,1
