poslist[key],profane,profane-when-combined,unsafe,unsafe-when-combined,entity,negation
eu/NN amateur/NN,0,0,1.3,0,0,0
eunuch/NN,0,0,0.5,0,0,0
euroteen/NN,0,0,1.3,0,0,0
excessive/JJ facial/NN,1.5,0,0,0,0,0
exclusive/JJ hardcore/NN,1.8,0,0,0,0,0
exclusive/JJ lolita/NN,1.8,0,0,0,0,0
exclusive/JJ members/NNS area/NN adult/NN,0,0,1.6,0,0,0
excrete/NN,0.5,0,0,0,0,0
excretion/NN,0.5,0,0,0,0,0
excretory/NN,0.5,0,0,0,0,0
exhibition/NN ezine/NN,0,0,1.2,0,0,0
exhibitionism/NN,0,0,1.1,0,0,0
exhibitionist/NN,0,0,1.1,0,0,0
expect/VB sex/NN,0,0,1.2,0,0,0
explicit/JJ anal/NN,0,0,1.8,0,0,0
explicit/JJ lesbian/NN,0,0,1.8,0,0,0
explicit/JJ nude/NN shows/NNS,0,0,1.8,0,0,0
explicit/JJ pic/NN,0,0,1.8,0,0,0
explicit/JJ sex/NN,0,0,1.3,0,0,0
explode/VB SBJ$ load/NN,1.8,0,0,0,0,0
exploited/JJ teen/NN,0,0,1.3,0,0,0
explosive/JJ shit/NN,1.2,0,0,0,0,0
expose/VB to/TO minors/NNS,0,0,1.3,0,0,0
extreme/JJ adult/NN content/NN,0,0,1.8,0,0,0
ezine/NN,0,0,0,0.5,0,0
ezlolita/NN,1.9,0,0,0,0,0
f**k/NN,1.2,0,0,0,0,0
face/NN drenched/VBD,1.6,0,0,0,0,0
facial/JJ feast/NN,1.5,0,0,0,0,0
facial/JJ masters/NNS,1.5,0,0,0,0,0
facial/JJ sex/NN,1.8,0,0,0,0,0
facial/NN,0,0,0,0.5,0,0
fag/NN,1.25,0,0,0,0,0
fagget/NN,1.6,0,0,0,0,0
faggit/NN,1.6,0,0,0,0,0
faggot/JJ ass/NN,1.6,0,0,0,0,0
faggot/NN,1.25,0,0,0,0,0
fagit/NN,1.6,0,0,0,0,0
fags/NNS,1.25,0,0,0,0,0
fanstasyfest/NN,1.3,0,0,0,0,0
fantastic/JJ facial/NN,1.2,0,0,0,0,0
fantasy/NN,0,0,0,0.5,0,0
fantasy/NN toons/NNS,1.3,0,0,0,0,0
fap/NN,1.4,0,0,0,0,0
fapping/NN,1.4,0,0,0,0,0
fareskin/NN,1.4,0,0,0,0,0
fart/NN,1.2,0,0,0,0,0
farting/NN,1.2,0,0,0,0,0
fat/JJ bitch/NN sex/NN,1.5,0,0,0,0,0
fat/JJ fantasy/NN,1.7,0,0,0,0,0
fat/JJ titties/NNS,1.4,0,0,0,0,0
fatass/NN,1.4,0,0,0,0,0
fathole/NN,1.4,0,0,0,0,0
fatso/NNS,1.4,0,0,0,0,0
felatio/NN,0,0,1.3,0,0,0
felching/NN,1.3,0,0,0,0,0
fellatio/NN,1.1,0,0,0,0,0
fem/NN domination/NN,0,0,1.4,0,0,0
female/JJ domination/NN,0,0,1.7,0,0,0
female/JJ fisting/NN,1.8,0,0,0,0,0
femdom/NN,1.1,0,0,0,0,0
fetish/JJ,0,0,0,0.5,0,0
fhm/NN,1.1,0,0,0,0,0
filthy/JJ sex/NN,0,0,1.8,0,0,0
